school_id,school_name,solar_present,solar_area_m2,portable_classrooms_count,running_track,full_size_sports_fields_count,hard_courts_count,pool_present,Changes from 2006 to 2016 in fields and courts
10282001124,Wedowee Middle School,No,0,Not reported,No,0,0,No,No visible change
40963000996,Kofa High School,Yes,3000,No,Yes,1,6,No,4 hard courts turned into a parking lot
180283000341,Zionsville Community High School,No,0,No,Yes,1,0,No,"10 hard courts,2 softball fields and 1 baseball field removed to make parking lots"
240039000683,Bel Air High,Yes,Not Reported,No,Yes,2,6,No,Baseball field was added and hard courts were renovated
270543000204,Bertha Secondary,No,0,Not Reported,No,0,0,No,No visible change
341560004108,Spring Lake Heights Elementary School,Yes,3000,Not Reported,No,2,0,No,Additional basketball courts were added
390494903613,Adena Elementary School,No,0,Not Reported,No,1,0,No,No visible change
481623001325,PAUL L DUNBAR LEARNING CENTER,No,0,Not Reported,No,0,1,No,No visible change
